PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
B2uiV,r2q1rk1/pbpnbppp/1p3n2/4p3/3p4/1P1PPNP1/PBP2PBP/RN1QR1K1 w - - 3 10,f3d4 b7g2 g1g2 e5d4,1356,76,92,507,advantage intermezzo opening short,https://lichess.org/kDwlY7Q6#19,Kings_Indian_Attack Kings_Indian_Attack_Other_variations
BA4Cr,r1bqk2r/ppp2ppp/2n1p3/2b1P3/4N1n1/5NP1/PPP2P1P/R1BQKB1R b KQkq - 2 8,c5f2 e4f2 d8d1 f2d1,1395,74,93,2190,advantage opening short,https://lichess.org/REoX6ej0/black#16,French_Defense French_Defense_Kings_Indian_Attack
BBdvn,r1bq1rk1/1p1nbppp/p3pn2/8/2QN4/2N3P1/PP2PPBP/R1B2RK1 w - - 0 11,a2a4 d7e5 c4b3 d8d4,1710,77,94,8857,advantage discoveredAttack opening short,https://lichess.org/0DWrVJdj#21,Kings_Indian_Attack Kings_Indian_Attack_Other_variations
BFWfB,r1bq1rk1/pp2p1bp/4p1p1/2p1n3/2P5/2NBR3/PP3PPP/R1BQ2K1 b - - 1 13,e5c4 d3c4 d8d1 c3d1,1022,75,86,190,advantage hangingPiece opening short,https://lichess.org/aQidsKWV/black#26,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
BIZ4h,r1bq1rk1/pp1nbppp/2p2n2/3p4/8/3P1NP1/PPP1QPBP/RNB1R1K1 b - - 1 9,a7a5 e2e7 d8e7 e1e7,1053,76,95,796,advantage opening short,https://lichess.org/5GaDr5xr/black#18,French_Defense French_Defense_Kings_Indian_Attack
BMJ0h,1r1qr1k1/1bp1bppp/p3pn2/1p2P3/2p5/P1N1P1P1/1PQ2PBP/R1B2RK1 b - - 0 14,f6g4 g2b7 b8b7 c2e4 d8b8 e4g4,1644,74,96,10309,advantage fork long opening,https://lichess.org/sQLOafPk/black#28,Kings_Indian_Attack Kings_Indian_Attack_Other_variations
BdPRQ,rn1q1rk1/1bp1ppb1/pp1p1npp/8/2PPP2B/2N2N2/PP2BPPP/R2QR1K1 b - - 3 10,b7e4 h4f6 e7f6 c3e4,1449,73,93,8446,advantage capturingDefender intermezzo opening short,https://lichess.org/RKCZq3cB/black#20,Kings_Indian_Defense Kings_Indian_Defense_Accelerated_Averbakh_Variation
BdX6A,r1bq1rk1/1p1n1pbp/p2p1np1/4p3/P1PN4/1PNBP2P/5PP1/R1BQ1RK1 w - - 0 12,d4f3 e5e4 d3e2 e4f3,1149,75,92,2599,advantage fork opening short,https://lichess.org/RoTplhmp#23,Kings_Indian_Defense Kings_Indian_Defense_Other_variations
BfZI3,rn1qkb1r/p1p1pppp/1pb2n2/4N3/2Q5/6P1/PP1PPPBP/RNB1K2R b KQkq - 2 7,c6g2 c4f7,1030,76,100,157,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/NlLnBzlo/black#14,Kings_Indian_Attack Kings_Indian_Attack_Other_variations
BjZeT,rn3rk1/pp3pbp/2pp1n2/3Pp1pq/2P1P1b1/2N1BNP1/PP3PBP/2RQ1RK1 w - - 0 12,e3g5 g4f3 d1f3 h5g5,1244,74,95,20287,advantage capturingDefender intermezzo opening short,https://lichess.org/UqzJkxDo#23,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
BouxZ,rn1qk2r/p1p1ppb1/1p1p3p/6p1/2PP2b1/1QN1PNP1/PP3PP1/R3KB1R w KQkq - 0 11,f3g5 h6g5 h1h8 g7h8,1192,79,81,802,advantage hangingPiece opening short,https://lichess.org/bRivQx3v#21,Kings_Indian_Defense Kings_Indian_Defense_Smyslov_Variation
Bqrih,r2q1rk1/1b2p2p/1p1P1bp1/p1n2pB1/2P2P2/P1N3P1/1PQ3P1/3RKB1R w K - 1 16,d6e7 d8e7,1253,77,89,1319,advantage oneMove opening,https://lichess.org/KiR1yq1H#31,Kings_Indian_Defense Kings_Indian_Defense_Other_variations
BsiIK,r1b2rk1/pp1nppbp/3q2p1/2pN4/2P5/5B2/PP3PPP/R2QR1K1 b - - 3 15,e7e6 d5f6 g7f6 d1d6,1081,75,96,11999,advantage discoveredAttack opening short,https://lichess.org/un5KwN2S/black#30,Kings_Indian_Defense Kings_Indian_Defense_Orthodox_Variation
BtAO1,r2q1rk1/pppn1pb1/3pbnpp/4p3/4PP1P/3P2P1/PPP1N1BN/R1BQ1RK1 b - - 0 11,f6g4 f4f5 g4h2 g1h2 e6f5 e4f5,1986,76,93,831,crushing long opening trappedPiece,https://lichess.org/key8KgGT/black#22,Kings_Indian_Attack Kings_Indian_Attack_Symmetrical_Defense
BtULx,rn3rk1/pp1qbppp/2p2n2/3pN3/6b1/3P2P1/PPPN1PBP/R1B1QRK1 b - - 7 10,d7c8 e5g4 c8g4 e1e7,1192,75,90,1502,crushing discoveredAttack opening short,https://lichess.org/t0GHvs8A/black#20,French_Defense French_Defense_Kings_Indian_Attack
C2Sxg,2kr1b1r/pppq1ppp/5n2/4Q2b/4P3/2P4P/PP1N1PP1/R1B1KB1R w KQ - 1 12,e5f5 d7f5 e4f5 d8e8,1409,75,93,624,crushing master opening short,https://lichess.org/oP2KeDuL#23,French_Defense French_Defense_Kings_Indian_Attack
C457G,r1bq1rk1/ppp1b1pp/2n1p3/3n4/8/2PB1N2/PP1NQPPP/R1B2RK1 w - - 1 12,c3c4 d5f4 d3h7 g8h7,1193,74,93,1646,advantage opening short,https://lichess.org/6XTzAi5j#23,French_Defense French_Defense_Kings_Indian_Attack
C4ycx,r2qr1k1/ppn2pb1/2p2n1p/3p2pP/3P1B2/2N1PB2/PP3PP1/R2QK2R w KQ - 0 16,f4g5 h6g5,1288,77,57,116,advantage hangingPiece oneMove opening,https://lichess.org/I5F8thYJ#31,Kings_Indian_Defense Kings_Indian_Defense_Other_variations
C6KhU,r1bq1rk1/pp3pb1/2p2npp/4p3/2P1PP1B/2N5/PP2B1PP/R2Q1RK1 b - - 0 12,e5f4 d1d8 f8d8 e4e5 g6g5 e5f6,1879,75,86,125,advantage long opening,https://lichess.org/P3brGFNN/black#24,Kings_Indian_Defense Kings_Indian_Defense_Orthodox_Variation
C6Lyb,r1bq2k1/1p3pb1/p5pp/2p5/P1Pnr3/5N2/1P1BBPPP/2RQ1RK1 w - - 0 16,f3d4 e4d4 d1b3 d4d2,1668,78,84,117,crushing opening short,https://lichess.org/ys6KIdaY#31,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
C6UbL,r2q1rk1/p2n2bp/2p3p1/5p2/2n5/2N2B2/PP4PP/R1BQ1RK1 w - - 0 18,f3c6 d8b6 g1h1 b6c6 d1d5 c6d5,1172,79,88,2672,crushing fork long opening,https://lichess.org/zSzK7C2c#35,Kings_Indian_Defense Kings_Indian_Defense_Other_variations
CBgEF,r1bq1rk1/1pp1n1bp/3p1pp1/p1nPp1BP/2P1P3/2N2PN1/PP1Q2P1/R3KB1R w KQ - 0 13,g5h6 g7h6 d2h6 g6g5,1897,75,91,1579,advantage defensiveMove opening short,https://lichess.org/bHQW04Fd#25,Kings_Indian_Defense Kings_Indian_Defense_Accelerated_Averbakh_Variation
CBpaE,r1b2rk1/p3pp1p/2pp2p1/q6n/2PbP3/2N2P2/PP1BB1PP/R2Q1RK1 w - - 6 13,g1h1 h5g3 h2g3 a5h5,1100,76,90,423,clearance kingsideAttack mate mateIn2 opening sacrifice short,https://lichess.org/3Q9CjdQu#25,Kings_Indian_Defense Kings_Indian_Defense_Samisch_Variation
CCYWy,r1bqk2r/ppp1ppb1/3p1np1/3Pn2p/2P1P3/2N1BP2/PP2N1PP/R2QKB1R b KQkq - 2 8,e5c4 d1a4 c8d7 a4c4,1010,78,92,348,advantage fork opening short,https://lichess.org/vMaOD2Q2/black#16,Kings_Indian_Defense Kings_Indian_Defense_Samisch_Variation
CEjCO,r1b2rk1/ppp2pbp/2qp1Bp1/4n3/2P1P3/2N2N2/PP2BPPP/R2Q1RK1 b - - 0 11,e5f3 e2f3 g7f6 e4e5 f6e5 f3c6,1037,76,96,2226,crushing discoveredAttack long opening,https://lichess.org/mC1LTxIj/black#22,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
